Employee_ID,Problems,Other Problems,Anamaly_Score,Average Work Hours,Reward Factor,Performance Rating,Vibe Factor
EMP0300,"[[""Total Decayed Reward Points"", 1.6884926116268963], [""Encoded Onboarding Feedback"", 0.49752034041382726], [""Average Daily Emails Sent"", 0.4062850991657254], [""Median Daily Emails Sent"", 0.3477574775060063], [""Average Daily Teams Messages"", 0.2799657718166442]]","[[""Tenure (Days Since Joining)"", 0.2610489687058839], [""Median Daily Teams Messages"", 0.18383947296253414], [""Average Meetings Attended per Day"", 0.17240707199586428], [""Median Meetings Attended per Day"", 0.11526408531816017], [""Total Meetings Attended"", 0.10876329741241907], [""Average Work Hours per Day"", 0.0650848658753785], [""Median Work Hours per Day"", 0.010766905714310559], [""Casual Leave Impact Factor"", 0.00755680606997687]]",-0.022145198986974535,8.09,551.0412426495466,,1.3615343858470674
EMP0081,"[[""Unpaid Leave Impact Factor"", 2.228335114431581], [""Total Meetings Attended"", 0.9977825639109612], [""Encoded Manager Feedback"", 0.28679979158413926], [""Median Work Hours per Day"", 0.23584047427855537], [""Work Hours Variability (Std Dev)"", 0.20704132573457174]]","[[""Median Daily Emails Sent"", 0.18727133958927453], [""Median Daily Teams Messages"", 0.1077661789631241], [""Average Work Hours per Day"", 0.1040141310561612], [""Average Daily Emails Sent"", 0.05587535038169574], [""Average Daily Teams Messages"", 0.0005924242579391529], [""Decayed Vibe Score"", 0.0004123926884429808]]",-0.021347954585778428,5.646,,4.0,0.5349606492655724
EMP0040,"[[""Median Daily Teams Messages"", 0.6389799779471084], [""Average Daily Teams Messages"", 0.6242966749448795], [""Average Meetings Attended per Day"", 0.5170912653638289], [""Encoded Onboarding Feedback"", 0.5121884014361316], [""Median Meetings Attended per Day"", 0.47532591538294056]]","[[""Total Meetings Attended"", 0.25884709140305573], [""Encoded Manager Feedback"", 0.2578762888318828], [""Tenure (Days Since Joining)"", 0.22431394333225405], [""Decayed Vibe Score"", 0.21709690073593674], [""Average Work Hours per Day"", 0.12850684640752288], [""Sick Leave Impact Factor"", 0.056852476937086255], [""Median Work Hours per Day"", 0.05428016711443061]]",-0.018920081035868397,8.42,2.897387914227629,3.0,4.153844210351656
EMP0340,"[[""Median Daily Teams Messages"", 0.6294099755880721], [""Average Daily Teams Messages"", 0.59415117289077], [""Average Meetings Attended per Day"", 0.48998387160767876], [""Median Work Hours per Day"", 0.4851496181337505], [""Median Meetings Attended per Day"", 0.43685230702227024]]","[[""Encoded Onboarding Feedback"", 0.4134982993325667], [""Average Work Hours per Day"", 0.39392637272729947], [""Tenure (Days Since Joining)"", 0.2699006801234088], [""Encoded Manager Feedback"", 0.2356422211361233], [""Total Meetings Attended"", 0.22957191516014525]]",-0.01863062265873794,4.45,13.513405325490693,4.0,0.5467817017820954
EMP0471,"[[""Onboarding Experience Score"", 1.900328684396041], [""Work Hours Variability (Std Dev)"", 0.8900264821303152], [""Tenure (Days Since Joining)"", 0.5609984389124176], [""Total Decayed Reward Points"", 0.39169283132859306], [""Encoded Onboarding Feedback"", 0.3899218876431592]]","[[""Encoded Manager Feedback"", 0.2464345182550578], [""Median Daily Teams Messages"", 0.02224353064548153], [""Average Daily Teams Messages"", 0.014887638406525591]]",-0.017534182209616778,6.895,194.8274634049307,4.0,0.934035782207984
EMP0174,"[[""Total Decayed Reward Points"", 1.485236396584339], [""Annual Leave Impact Factor"", 0.5834142962787113], [""Median Work Hours per Day"", 0.49013144259717567], [""Average Work Hours per Day"", 0.45222392295831026], [""Median Daily Emails Sent"", 0.3094483973860521]]","[[""Average Daily Emails Sent"", 0.30186706936238367], [""Tenure (Days Since Joining)"", 0.22682905102256826], [""Average Meetings Attended per Day"", 0.1530362414809357], [""Median Daily Teams Messages"", 0.11010275490133142], [""Median Meetings Attended per Day"", 0.09864690897610506], [""Average Daily Teams Messages"", 0.08790405506112922]]",-0.01541484392002268,4.34,417.8538876877428,,
EMP0235,"[[""Average Daily Teams Messages"", 0.5397672326830212], [""Average Meetings Attended per Day"", 0.5251672308557789], [""Median Daily Teams Messages"", 0.4970802641048328], [""Median Meetings Attended per Day"", 0.4465923899905049], [""Encoded Onboarding Feedback"", 0.4331633849571601]]","[[""Tenure (Days Since Joining)"", 0.3279539674867903], [""Median Work Hours per Day"", 0.27729567276370853], [""Average Work Hours per Day"", 0.25336419439604435], [""Total Meetings Attended"", 0.22547114766057605], [""Average Daily Emails Sent"", 0.17898256546753613], [""Median Daily Emails Sent"", 0.15753590919275612], [""Decayed Vibe Score"", 0.05650968032304495]]",-0.010480467209210587,5.21,0.2162923800780158,,0.3273082736054081
EMP0305,"[[""Average Meetings Attended per Day"", 0.5366804193603634], [""Median Meetings Attended per Day"", 0.4569379041082182], [""Encoded Onboarding Feedback"", 0.4200768625630868], [""Average Daily Teams Messages"", 0.40578874609092486], [""Onboarding Experience Score"", 0.3927945716009713]]","[[""Median Daily Teams Messages"", 0.319744645042299], [""Encoded Manager Feedback"", 0.25839745165250316], [""Median Work Hours per Day"", 0.2576744109536733], [""Total Meetings Attended"", 0.24986357956333236], [""Average Work Hours per Day"", 0.201698925659015], [""Tenure (Days Since Joining)"", 0.10083282360644139], [""Median Daily Emails Sent"", 0.07423236646235365], [""Average Daily Emails Sent"", 0.06836994847496829]]",-0.008231178326438715,5.27,72.71158310997063,2.0,
EMP0291,"[[""Casual Leave Impact Factor"", 2.2990347051641793], [""Encoded Onboarding Feedback"", 0.3963040850404018], [""Median Meetings Attended per Day"", 0.2996392257078492], [""Encoded Manager Feedback"", 0.2827212640516861], [""Average Meetings Attended per Day"", 0.2739474108975773]]","[[""Average Work Hours per Day"", 0.1862156041750505], [""Median Work Hours per Day"", 0.12531849125734965], [""Tenure (Days Since Joining)"", 0.07391959138667471], [""Median Daily Emails Sent"", 0.01839947553067269]]",-0.005864672169980323,8.71,,3.0,
EMP0013,"[[""Median Work Hours per Day"", 0.6836439497690374], [""Average Work Hours per Day"", 0.6395415583221769], [""Average Meetings Attended per Day"", 0.6138323449507532], [""Average Daily Emails Sent"", 0.6125371602495513], [""Median Meetings Attended per Day"", 0.5069602301375516]]","[[""Median Daily Emails Sent"", 0.4867328734768029], [""Encoded Manager Feedback"", 0.26024768614047333], [""Average Daily Teams Messages"", 0.048445687849430874], [""Median Daily Teams Messages"", 0.03511046988268115], [""Total Meetings Attended"", 0.020448491422761658], [""Tenure (Days Since Joining)"", 0.01589808127437817]]",-0.005601527694065189,4.0,,1.0,2.0
EMP0356,"[[""Sick Leave Impact Factor"", 1.4339202422079989], [""Average Daily Teams Messages"", 0.5301393016059277], [""Median Daily Emails Sent"", 0.4195703037363284], [""Median Daily Teams Messages"", 0.4027224892749424], [""Encoded Onboarding Feedback"", 0.3983411579812447]]","[[""Average Daily Emails Sent"", 0.379383202919421], [""Encoded Manager Feedback"", 0.24060286530896097], [""Median Work Hours per Day"", 0.11018837102895865], [""Average Work Hours per Day"", 0.07207551302647319]]",-0.0051505738268847745,5.79,29.462789857207817,3.0,1.054008648839201
EMP0461,"[[""Sick Leave Impact Factor"", 0.8354527090223424], [""Average Meetings Attended per Day"", 0.641772139939722], [""Median Work Hours per Day"", 0.6079003035602133], [""Median Meetings Attended per Day"", 0.5981890844823708], [""Average Work Hours per Day"", 0.5791153665988195]]","[[""Median Daily Emails Sent"", 0.3682348441983466], [""Average Daily Emails Sent"", 0.35170922078284156], [""Encoded Manager Feedback"", 0.2321775194755748], [""Total Meetings Attended"", 0.015576349344079095]]",-0.004993932856436234,4.16,22.060702547556048,2.0,1.0234171555730849
EMP0141,"[[""Casual Leave Impact Factor"", 1.6540734549257778], [""Median Daily Teams Messages"", 0.6881285583914835], [""Encoded Onboarding Feedback"", 0.5275029192074965], [""Average Daily Teams Messages"", 0.4140425556950741], [""Work Hours Variability (Std Dev)"", 0.2588115928298301]]","[[""Tenure (Days Since Joining)"", 0.18689063832035108], [""Average Work Hours per Day"", 0.18310574356710113], [""Average Meetings Attended per Day"", 0.127170527306341], [""Median Work Hours per Day"", 0.05354363454483309], [""Median Meetings Attended per Day"", 0.0014199059860212423]]",-0.004487118762551479,5.46,,1.0,
EMP0104,"[[""Unpaid Leave Impact Factor"", 2.175566082033941], [""Average Meetings Attended per Day"", 0.6325392974705237], [""Median Meetings Attended per Day"", 0.5319649656504327], [""Average Daily Emails Sent"", 0.31181601225769173], [""Median Daily Emails Sent"", 0.26063644347779386]]","[[""Median Daily Teams Messages"", 0.16829372253214733], [""Average Daily Teams Messages"", 0.14534633117229326], [""Onboarding Experience Score"", 0.05340276563291923], [""Total Meetings Attended"", 0.0027457765473444112]]",-0.003409682432471195,7.03,,1.0,
EMP0138,"[[""Annual Leave Impact Factor"", 1.438213733351757], [""Median Daily Teams Messages"", 0.7194273985634203], [""Sick Leave Impact Factor"", 0.714186938652315], [""Average Daily Teams Messages"", 0.6855426039653278], [""Average Daily Emails Sent"", 0.20156929600429074]]","[[""Median Daily Emails Sent"", 0.1727950505145784], [""Decayed Vibe Score"", 0.05538214601504293], [""Median Work Hours per Day"", 0.029629049392500197], [""Median Meetings Attended per Day"", 0.02882054986196654], [""Average Meetings Attended per Day"", 0.010687396531348441], [""Average Work Hours per Day"", 0.005785013324670902]]",-0.00021194569232618754,6.1,66.26595654961137,,2.9855093010417293 
