Employee_ID,Key Concerns,Question,Response Set
EMP0040,"Zero meetings attended, could indicate lack of team collaboration.","You haven't attended any meetings recently. Do you find them unhelpful, or do you face scheduling challenges?","<s>[INST] I find most meetings unnecessary. [/INST]   Got it! Would you prefer shorter, more focused meetings with clear agendas? </s>
<s>[INST] The meeting times don’t align with my schedule. [/INST]   I see. Would a more flexible meeting scheduling system help you attend? </s>
<s>[INST] I wasn’t invited to some of the meetings. [/INST]   Thanks for sharing. Would you like to be added to key meetings automatically? </s>
<s>[INST] I had too much work and couldn’t spare time for meetings. [/INST]   That’s understandable. Would it help if meetings were recorded for later viewing? </s>
<s>[INST] I’m not sure why my attendance is low. [/INST]   No problem! Would you like an overview of your meeting participation trends? </s>
<s>[INST] I’ve been too busy with deadlines to attend meetings. [/INST]   That’s understandable! Would meeting summaries or recorded sessions help you stay updated? </s>
<s>[INST] Some meetings feel repetitive, so I don’t always see the need to join. [/INST]   Got it! Would more structured agendas or action-focused discussions make them more valuable for you? </s>"
,Moderate emails (18) but very low reward points (2.90) → weak contributions.,"Your email activity is moderate, but your contributions seem low. Do you feel your work is being recognized?","<s>[INST] Yes, my manager acknowledges my efforts regularly. [/INST]   That’s great! Would you like to receive more structured feedback on your contributions? </s>
<s>[INST] Not really, I feel like my hard work goes unnoticed. [/INST]   I see. Would a recognition program help ensure contributions are better appreciated? </s>
<s>[INST] Sometimes, but I think visibility into my work could be better. [/INST]   Understood! Would a progress-tracking system help showcase your impact? </s>
<s>[INST] I don’t focus on recognition, I just do my job. [/INST]   That’s a strong mindset! Would setting personal goals help you measure your success? </s>
<s>[INST] I’m not sure. I don’t get much feedback on my work. [/INST]   Got it. Would regular check-ins with your manager help provide more clarity? </s>
<s>[INST] I do a lot of behind-the-scenes work that isn’t always visible. [/INST]   That makes sense! Would you like a way to showcase your contributions more effectively? </s>
<s>[INST] I feel like my work is recognized within my team but not beyond that. [/INST]   Understood! Would more cross-team visibility or recognition programs help highlight your efforts? </s>"
,Very high recent sick leave (9.47) → possible health issues impacting work.,You recently took sick leave. Has your health affected your ability to work effectively?,"<s>[INST] No, I have fully recovered and feel productive. [/INST]   That’s great! Do you need any additional support to maintain your well-being? </s>
<s>[INST] Yes, I am still feeling a bit unwell and struggling with my workload. [/INST]   Understood. Would a temporary workload adjustment help you recover while staying on track? </s>
<s>[INST] Somewhat, I needed extra time to catch up on missed tasks. [/INST]   That makes sense. Would a structured return-to-work plan make the transition easier? </s>
<s>[INST] I was unwell, but my team supported me, so it wasn’t too difficult. [/INST]   That’s good to hear! Would you like to explore ways to improve team collaboration during absences? </s>
<s>[INST] I haven't taken sick leave recently; maybe there’s an error. [/INST]   Thanks for letting me know! Would you like me to check and update your leave records? </s>
<s>[INST] I’m still recovering, and it’s been difficult to focus. [/INST]   That’s understandable. Would a temporary workload adjustment help ease your transition back? </s>
<s>[INST] No, I’m feeling much better and back to full productivity. [/INST]   That’s great to hear! Would you like any wellness resources to help maintain your well-being? </s>"
,Performance rating is ‘Needs Improvement.’,Your performance rating suggests improvement is needed. What support would help you succeed?,"<s>[INST] I think mentorship from a senior colleague would be helpful. [/INST]   That’s a great idea! Would you prefer one-on-one mentorship or group coaching sessions? </s>
<s>[INST] I need more training to improve my skills. [/INST]   Understood! Would online courses or hands-on workshops be more beneficial for you? </s>
<s>[INST] My workload feels overwhelming, making it hard to perform well. [/INST]   That’s important to address. Would workload balancing or delegation support help? </s>
<s>[INST] I need clearer expectations and feedback from my manager. [/INST]   Got it! Would regular check-ins and goal-setting discussions help provide more clarity? </s>
<s>[INST] I’m not sure what’s causing the performance issues. [/INST]   No worries! Would a performance analysis session help identify areas for improvement? </s>
<s>[INST] I think clearer expectations would help me focus on key priorities. [/INST]   That makes sense! Would regular goal-setting sessions with your manager be beneficial? </s>
<s>[INST] I could use more hands-on training to improve my skills. [/INST]   Understood! Would practical workshops or mentorship sessions be more helpful for you? </s>"
,"Despite concerns, being considered for promotion.","You are being considered for a promotion. Do you feel ready for this step, or do you need to improve in some areas first?","<s>[INST] Yes, I feel confident and ready for the next step. [/INST]   That’s great! Would you like to discuss your goals and expectations for the new role? </s>
<s>[INST] I think I’m ready, but I could use some leadership training. [/INST]   Understood! Would you be interested in a leadership development program? </s>
<s>[INST] I’m excited, but I still need guidance in certain areas. [/INST]   That makes sense! Would mentorship from a senior leader help you feel more prepared? </s>
<s>[INST] I don’t feel fully ready yet, I need more experience. [/INST]   No problem! Would a structured career growth plan help you gain the necessary experience? </s>
<s>[INST] I’m not sure if this promotion is the right fit for me. [/INST]   I see. Would a career development discussion help clarify your options? </s>
<s>[INST] I feel ready, but I want to strengthen my decision-making skills. [/INST]   That’s a great focus! Would case-study exercises or leadership coaching help you build confidence? </s>
<s>[INST] I need to improve my time management before taking on more responsibility. [/INST]   Understood! Would productivity training or workload balancing strategies be useful for you? </s>"
EMP0056,"Very low Teams messages (3), showing poor communication engagement.","Your Teams activity is very low. Do you prefer other communication methods, or do you find collaboration challenging?","<s>[INST] I prefer face-to-face communication over chat. [/INST]   That’s great! Would you like a way to log in-person discussions for tracking collaboration? </s>
<s>[INST] I don’t feel comfortable engaging in group chats. [/INST]   I understand. Would a private channel for structured discussions help you feel more comfortable? </s>
<s>[INST] I was focused on individual tasks and didn’t need much collaboration. [/INST]   That makes sense! Would occasional team sync-ups help keep communication balanced? </s>
<s>[INST] The Teams app is difficult for me to use. [/INST]   Thanks for your feedback! Would a tutorial or training session help you navigate it better? </s>
<s>[INST] I just didn’t have much to contribute in recent discussions. [/INST]   No worries! Would structured prompts in chats help you engage more naturally? </s>
<s>[INST] I usually communicate through direct messages instead of group chats. [/INST]   That makes sense! Would you like an option to log private conversations as engagement? </s>
<s>[INST] I find it easier to discuss things in person rather than online. [/INST]   Understood! Would structured in-person check-ins help balance communication? </s>"
,"Extremely high annual leave (11.6), impacting overall work output.",You recently took a significant amount of leave. Do you feel it affected your work engagement?,"<s>[INST] No, I was able to transition back smoothly without any issues. [/INST]   That’s great! Do you have any strategies that helped you adjust quickly? </s>
<s>[INST] Yes, I found it challenging to catch up on pending work. [/INST]   I see. Would a structured return-to-work plan help you ease back into your tasks? </s>
<s>[INST] Somewhat, but my team supported me in getting back on track. [/INST]   That’s good to hear! Would having shared task updates make the process even smoother? </s>
<s>[INST] I felt a bit disconnected from ongoing projects after my leave. [/INST]   Understood. Would periodic project briefings help keep you informed during long absences? </s>
<s>[INST] I haven’t taken significant leave recently, maybe there's an error. [/INST]   Thanks for pointing that out! Would you like me to check and update your leave records? </s>
<s>[INST] Yes, it took me some time to get back into my usual workflow. [/INST]   That’s understandable! Would a structured re-onboarding process help ease your transition? </s>
<s>[INST] No, I planned ahead, so my workload was manageable after returning. [/INST]   That’s great! Would you like to document your planning strategy to help others manage their return? </s>"
,Performance rating is ‘Needs Improvement.’,"Your past contributions were high, but your recent engagement is low. What has changed for you?","<s>[INST] I’ve been focusing on different tasks that don’t require much collaboration. [/INST]   That makes sense! Would you like a way to log independent work as part of your contributions? </s>
<s>[INST] I’ve been feeling a bit burned out and needed to slow down. [/INST]   Understood. Would you be interested in strategies to manage workload and prevent burnout? </s>
<s>[INST] My role has shifted, and I’m not sure how to contribute in the same way. [/INST]   That’s important to address. Would a role clarification session help you align better with team goals? </s>
<s>[INST] I’ve had personal challenges that affected my engagement. [/INST]   I see. Would flexible work options or support resources help you balance things better? </s>
<s>[INST] I didn’t realize my engagement had dropped. [/INST]   No worries! Would you like a personalized report to track your activity trends over time? </s>
<s>[INST] I’ve been focusing on different responsibilities that don’t require as much communication. [/INST]   That makes sense! Would you like a way to log independent work as part of your contributions? </s>
<s>[INST] I’ve been feeling less motivated lately and need a fresh challenge. [/INST]   Understood! Would working on a new project or skill development opportunity help re-engage you? </s>"
,"Decayed Reward Points (131.3) are highest in dataset, but Decayed Vibe (0.52) is low → Strong past work, but currently disengaged.",Your manager rated your performance as ‘Needs Improvement.’ Do you feel you have the necessary support to succeed?,"<s>[INST] Yes, my manager provides helpful guidance. [/INST]   That’s great! Would you like to set specific goals to track your progress? </s>
<s>[INST] Somewhat, but I think I need more structured feedback. [/INST]   Understood. Would regular performance check-ins help you improve? </s>
<s>[INST] Not really, I feel like I’m struggling without enough support. [/INST]   I see. Would you benefit from mentorship or additional training? </s>
<s>[INST] I feel overwhelmed with my workload, which affects my performance. [/INST]   That’s important to address. Would workload balancing help you perform better? </s>
<s>[INST] I’m not sure, I don’t know what’s expected of me. [/INST]   Got it. Would a clear roadmap of expectations and goals be useful? </s>""
<s>[INST] I receive some support, but I think more structured guidance would help. [/INST]   That’s a great point! Would regular one-on-one coaching sessions with your manager be beneficial? </s>
<s>[INST] I feel like I need clearer goals and expectations to improve. [/INST]   Understood! Would structured goal-setting meetings help provide more clarity on expectations? </s>"
,"Not being considered for promotion, possibly due to recent disengagement.",You are not being considered for a promotion right now. Would you be interested in a development plan to increase your chances?,"<s>[INST] Yes, I would love to work on improving my skills for future opportunities. [/INST]   That’s great! Would you prefer a structured learning path or hands-on projects for skill development? </s>
<s>[INST] Maybe, but I’m not sure what areas I need to improve. [/INST]   Understood! Would a personalized skills assessment help identify key focus areas? </s>
<s>[INST] No, I’m happy in my current role and not looking for a promotion. [/INST]   That’s completely fine! Would you be interested in lateral growth opportunities instead? </s>
<s>[INST] I feel like I’ve been overlooked despite my hard work. [/INST]   I see. Would you like to discuss your contributions with your manager to better understand the decision? </s>
<s>[INST] I don’t think I’m ready for a promotion yet. [/INST]   That’s a fair perspective! Would you like a gradual development plan to help you prepare at your own pace? </s>
<s>[INST] Yes, I want to improve and prepare for future opportunities. [/INST]   That’s great! Would you prefer a structured career growth plan or hands-on project experience? </s>
<s>[INST] I’m not sure, I’d like to understand why I wasn’t considered first. [/INST]   That makes sense! Would a feedback session with your manager help clarify areas for improvement? </s>"
EMP0071,"High engagement in all metrics (64 messages, 39 emails, 10 meetings) – but is it sustainable?",You are one of the most active employees. Do you feel your work is being recognized?,"<s>[INST] Yes, I get regular feedback and feel appreciated. [/INST]   That’s great to hear! Would you like to mentor newer employees and share your insights? </s>
<s>[INST] Not really, I feel my efforts go unnoticed. [/INST]   I see. Would you like more structured recognition programs for top contributors? </s>
<s>[INST] Sometimes, but I wish my impact was clearer. [/INST]   Understood! Would a personalized progress dashboard help you track your contributions? </s>
<s>[INST] I don’t really care about recognition. [/INST]   No problem! Would you like to set personal goals instead to measure your progress? </s>
<s>[INST] I prefer self-motivation over external recognition. [/INST]   That’s a great mindset! Would you like tools to set personal performance challenges? </s>
<s>[INST] Yes, my efforts are acknowledged, and I feel appreciated. [/INST]   That’s great! Would you be interested in mentoring others and sharing your expertise? </s>
<s>[INST] Not really, I feel like my contributions go unnoticed. [/INST]   I see. Would you like to explore ways to increase visibility for your work? </s>"
,"Recent sick leave (8.72), may impact work.",You recently took sick leave. Has it affected your workload or energy levels?,"<s>[INST] No, I have fully recovered and feel productive. [/INST]   That’s great! Do you need any additional support to maintain your well-being? </s>
<s>[INST] Yes, I am still feeling a bit low on energy and struggling with my workload. [/INST]   Understood. Would a temporary workload adjustment help you recover while staying on track? </s>
<s>[INST] Somewhat, I needed extra time to catch up on missed tasks. [/INST]   That makes sense. Would a structured return-to-work plan make the transition easier? </s>
<s>[INST] I was unwell, but my team supported me, so it wasn’t too difficult. [/INST]   That’s good to hear! Would you like to explore ways to improve team collaboration during absences? </s>
<s>[INST] I haven't taken sick leave recently; maybe there’s an error. [/INST]   Thanks for letting me know! Would you like me to check and update your leave records? </s>
<s>[INST] I’m still feeling a bit drained and struggling to keep up. [/INST]   That’s understandable. Would a temporary workload adjustment or flexible deadlines help? </s>
<s>[INST] No, I’ve recovered fully and am back to my normal pace. [/INST]   That’s great to hear! Would you like any wellness resources to help maintain your energy levels? </s>"
,Decayed Reward Points (2.94) are very low despite strong work metrics.,"Despite high engagement, your Decayed Reward Points are low. Do you feel your recent contributions are valued?","<s>[INST] Yes, I receive positive feedback from my team and manager. [/INST]   That’s great! Would you like a way to track and showcase your key contributions more effectively? </s>
<s>[INST] Not really, I feel like my work isn’t being recognized enough. [/INST]   I see. Would a structured recognition program help ensure your efforts are acknowledged? </s>
<s>[INST] Sometimes, but I think I could use more visibility on my work. [/INST]   Understood! Would you find a personal impact report useful to highlight your achievements? </s>
<s>[INST] I don’t focus on reward points, I just do my job. [/INST]   That’s a strong work ethic! Would setting personal performance goals help you measure your success? </s>
<s>[INST] I’m not sure why my reward points are low. [/INST]   No worries! Would you like a detailed breakdown of how Decayed Reward Points are calculated? </s>
<s>[INST] I contribute a lot, but I don’t think my efforts are being noticed. [/INST]   I see. Would regular recognition or feedback sessions help highlight your contributions? </s>
<s>[INST] I’m not sure how Decayed Reward Points are calculated. [/INST]   That’s a great question! Would you like a breakdown of how these points are measured and what impacts them? </s>"
,Performance rating is ‘Exceeds Expectations’ – possible leadership material.,"With your strong performance, have you considered taking on more leadership responsibilities?","<s>[INST] Yes, I’m interested in growing into a leadership role. [/INST]   That’s great! Would you like to explore mentorship or management training programs? </s>
<s>[INST] Maybe, but I’m not sure if I’m ready yet. [/INST]   Understood! Would you find a gradual leadership development plan helpful? </s>
<s>[INST] I prefer to focus on my individual contributions for now. [/INST]   That makes sense! Would you be interested in leading small projects as a first step? </s>
<s>[INST] I enjoy teamwork, but I don’t see myself in a leadership role. [/INST]   That’s completely fine! Would you be open to mentoring junior colleagues instead? </s>
<s>[INST] I haven’t thought about it, but I’m open to exploring. [/INST]   That’s a great mindset! Would you like to discuss potential leadership opportunities with your manager? </s>
<s>[INST] Yes, I’m interested in leadership but would like some training first. [/INST]   That’s great! Would you be interested in a leadership development program or mentorship? </s>
<s>[INST] I enjoy my current role and don’t see myself in a leadership position right now. [/INST]   Understood! Would you be open to taking on small leadership tasks to explore the possibility? </s>"
,Being considered for promotion.,You are being considered for promotion. What areas do you think you need to work on before stepping into a bigger role?,"<s>[INST] I need to work on my leadership skills. [/INST]   That’s a great focus! Would you be interested in a leadership training program? </s>
<s>[INST] I want to improve my technical expertise before taking on more responsibilities. [/INST]   That’s a solid approach! Would a mentorship program with senior experts help? </s>
<s>[INST] I need to get better at managing multiple projects efficiently. [/INST]   Understood! Would you like access to project management training or tools? </s>
<s>[INST] I think I need more confidence when making key decisions. [/INST]   That’s important! Would role-playing decision-making scenarios help build your confidence? </s>
<s>[INST] I’m not sure if I’m ready for this promotion yet. [/INST]   That’s completely understandable. Would you like a personalized development plan to prepare you? </s>
<s>[INST] I need to improve my ability to handle conflicts effectively. [/INST]   That’s a great focus! Would conflict resolution training or mentorship help you develop this skill? </s>
<s>[INST] I think I need to enhance my strategic thinking skills. [/INST]   Understood! Would case studies or project-based learning help you strengthen your decision-making? </s>"
EMP0108,"Moderate engagement (48 messages, 23 emails, 9 meetings).",Your engagement is moderate. Do you feel you could be more productive with additional support?,"<s>[INST] Yes, I think better tools and resources would help. [/INST]   That makes sense! Would you like to suggest any specific tools that could improve your workflow? </s>
<s>[INST] Maybe, but I’m not sure what kind of support I need. [/INST]   Understood! Would a one-on-one session to assess your needs be helpful? </s>
<s>[INST] No, I feel productive with my current setup. [/INST]   That’s great! Would you be interested in mentoring others who might need support? </s>
<s>[INST] I sometimes struggle with prioritizing tasks. [/INST]   Got it! Would a task management or productivity tool help you stay organized? </s>
<s>[INST] I don’t think I need additional support, but I appreciate the check-in. [/INST]   No problem! Would you like periodic productivity insights to track your engagement over time? </s>
<s>[INST] I think having clearer priorities would help me focus better. [/INST]   That makes sense! Would structured goal-setting or task management tools be helpful for you? </s>
<s>[INST] I feel like I’m doing fine, but I’m always open to improving. [/INST]   That’s a great mindset! Would personalized productivity insights help you identify growth opportunities? </s>"
,"Recent annual leave (3.69), but it’s not extreme.","You recently took some annual leave. Did it help you refresh, or do you still feel work stress?","<s>[INST] Yes, I feel refreshed and more motivated to work. [/INST]   That’s great! Would you like to share any strategies that helped you return energized? </s>
<s>[INST] Somewhat, but I still have a lot on my plate. [/INST]   Understood! Would workload balancing help you ease back into work? </s>
<s>[INST] Not really, I still feel stressed even after the leave. [/INST]   I see. Would stress management resources or flexible scheduling help you? </s>
<s>[INST] I took leave, but I had to check emails and do some work. [/INST]   That’s tough! Would clearer boundaries for work-free leave help you disconnect better? </s>
<s>[INST] I haven’t taken annual leave recently; maybe there’s an error. [/INST]   Thanks for pointing that out! Would you like me to check and update your leave records? </s>
<s>[INST] I feel much more refreshed and motivated after my leave. [/INST]   That’s great! Would you like to schedule regular breaks to maintain this balance? </s>
<s>[INST] I still feel overwhelmed with work despite taking leave. [/INST]   Understood! Would workload adjustments or better delegation help reduce stress? </s>"
,Performance rating is ‘Needs Improvement.’,Your Decayed Vibe score is high. Are you feeling overwhelmed or dissatisfied with work?,"<s>[INST] Yes, I feel like my workload is too much. [/INST]   I see. Would workload balancing or delegation support help? </s>
<s>[INST] Not really, I just have a lot going on. [/INST]   Understood! Would time management tips or a structured break schedule help? </s>
<s>[INST] I feel stuck in my role and need new challenges. [/INST]   That makes sense! Would you be interested in skill development or a new project? </s>
<s>[INST] My work environment has been stressful lately. [/INST]   Thanks for sharing. Would access to stress management resources help? </s>
<s>[INST] No, I actually feel fine despite the score. [/INST]   Got it! Would you like a better breakdown of how this score is calculated? </s>
<s>[INST] Yes, I’ve been feeling overwhelmed with my workload lately. [/INST]   That’s important to address! Would adjusting task priorities or delegating some work help? </s>
<s>[INST] No, I’m actually satisfied with my work, but I’d like to understand why my score is high. [/INST]   That’s a great question! Would you like a detailed breakdown of how your Decayed Vibe score is calculated? </s>"
